Macro_Nicho,Sub_Nicho,Detalle_Producto,Rating,Review
grocery gourmet food,beverages,juices,4.0,"The real joy of this movie doesn't lie in its fun special effects, its twisted, albiet cheerful view of the afterlife, or Michael Keaton's Robin Williams impressions, but in its witty send-up of the New York art scene. No community is so desperately in need of skewering but it's rarely done -- and even more rarely done well.Burton was kitschy before kitschy was cool and he figured out early on that Robert Goulet's best work would come in spoofing himself. The film is aging nicely and along with 'Ed Wood', it stands as the best example of Burton's whimsical, if slightly malevolent world view."
grocery gourmet food,beverages,juices,3.0,"Okay, Tim Burton is genuine. He haunts you with his films a'la Ed Wood and Edward Scissorhands. But let me tell you a little something about Beetlejuice. Most of the plot just does pin-wheels over its own weird a** summery. A lot of this movie makes hardly NO sense. But thats not why I gave it such a crappy rating. The reason is really some of the dialogue is childish and unrealistic and mostly sounds forced. A lot of the special effects really got on my nerves and I dont care what year this movie was made in. Look at The Day The Earth Stood Still. 1950's, still excellent top-notch effects. Tim Burton has his unique way of showing us his visions with his own particular special effects, but I dont really go for half of it. Still, 3 stars is good considering........"
health personal care,nutrition wellness,nutrition bars drinks,5.0,"I loved the flavor of the bars!!! I really didn't expect them to be as good as they are!!! I have had other nutritional bars that tasted really nasty. I'd buy the Balance Bars again, and plan on doing so. Even my children liked them! The bars gave me energy when I ate them in the late afternoon. They were a real pick-me-up! I'd recommend this product to a friend in a heartbeat. It's nice to know you can buy a nutritional bar that tastes good and seems more like a snack!"
health personal care,health care,allergy,5.0,"I liked the Breath Right Nasal Strips. They kept my nostrils open all night, and I have had no problem with them lasting all night. As a matter of fact, until I started taking them off in the shower, they were still very secure when morning came around. I had a difficult time peeling them off until I got them wet and soapy. I also appreciate the fact that I don't have to take drugs to keep my nose clear at night."
grocery gourmet food,beverages,juices,5.0,"THIS IS ONE MOVIE THAT SHOULD BE IN YOUR MOVIE COLLECTION. IT IS FILLED WITH COMEDY, ACTION, AND WHATEVER ELSE YOU WANT TO CALL IT."
health personal care,health care,pill cases splitters,3.0,"The EZ Dose One-Day-At-A-Time Medicine Dispenser is handy for keeping track of days and times to take medication. Each day and time span is clearly marked on each individual lid, and it also has Braille for the sight impaired. Each compartment is deep enough for holding a good amount of pills -- I would say 3-5 average-size pills comfortably. The downside is that it's difficult to snap the lids shut. One must push tightly until it snaps and it could be difficult for someone with weak hands, an impairment, or arthritis. This also holds true for returning the daily pill strip box to the weekly tray. Not as simple a task as perhaps it should be for someone who's ill."
health personal care,health care,foot care,4.0,"I liked these as soon as I put them in my shoes. It even seemed like my shoes fit better. I will probably get another pair, and I've already recommended them to several of my friends."
health personal care,nutrition wellness,nutrition bars drinks,4.0,"I'd very much recommend this product. Where most products of this nature are typically very sweet, this one was not overly sugary. It's a pretty good in-between snack and great to take on the go. I took them to work and had them in the late afternoon when I usually have my cravings for sweets from the snack machines."
health personal care,nutrition wellness,nutrition bars drinks,5.0,"This is a great product. Unlike other nutritional or supplement bars (i.e., Power Bar), it's not chewy-gooey and bland. It actually has a great taste. It does not make you feel bloated or stuffed, yet does fill you up and aids in energy. I really enjoyed this product and highly recommend it."
health personal care,nutrition wellness,nutrition bars drinks,4.0,"I really enjoyed the Balance Bar 40-30-30, Naturally, Yogurt Honey Peanut flavor. They were better than I expected and I will definitely buy them again. I especially enjoyed the fact that much of the protein was from soy, which has many health benefits. It was an easy, delicious, and quick way for me to integrate more soy into my diet. I would recommend this product to anyone who wants a quick, healthy snack."
health personal care,nutrition wellness,nutrition bars drinks,4.0,"I really enjoyed the Balance Bar 40-30-30, Naturally, Yogurt Honey Peanut flavor. They were better than I expected and I will definitely buy them again. I especially enjoyed the fact that much of the protein was from soy, which has many health benefits. It was an easy, delicious, and quick way for me to integrate more soy into my diet. I would recommend this product to anyone who wants a quick, healthy snack."
health personal care,nutrition wellness,nutrition bars drinks,5.0,"I was really pleasantly surprised when I tried this product. For all the nutrients it contained I expected it to taste a bit like chocolate-flavored paneling or something comparable. It was actually great. Had a dense, yet rather moist consistency, with a very good flavor. The size is such that it's easy to carry with me on the go and could easily be slipped into a shirt or jacket pocket. I really liked to have one after a workout to give me a very nutritious boost. I imagine if one is looking for a quick, nutrition bar that in NO way skimps on flavor, this one is worth the money. I would definitely recommend this to family and friends."
health personal care,nutrition wellness,nutrition bars drinks,5.0,What a great surprise these bars were! I'm a hiker and have used other brands of energy bars -- most of which do the trick but taste like sawdust. The Balance Bar is moist and tasty with the added bonus of a yogurt coating. I had one for breakfast and it lasted me well into lunch with no hunger cravings. I love that they are nutritionally balanced and I will certainly take them along on my next hiking trip.
health personal care,nutrition wellness,nutrition bars drinks,3.0,"The bars were pretty good. Not too chemical-tasting, but a typical sports bar nonetheless. Bland. Texture of cardboard but better than most in consistency. Not sticky like Power Bars. I'd recommend them if you can accept that all sports bars invariably taste like packing material. Good protein content."
health personal care,nutrition wellness,nutrition bars drinks,4.0,"This is a good snack or break food. After my afternoon workout, it filled me up and gave me energy. It satisfied my craving for a sweet chocolate taste too. It had a good chewy texture and it gave my mouth a good workout, flavor, and chew. It was a bit high on the calorie range, but had all the nutrients to keep it healthy."
health personal care,nutrition wellness,nutrition bars drinks,3.0,"My children seemed to really like them. They have a slightly different taste than what I expected. They're almost like a Fig Newton chewy. They were very filling and helped us feel that we were no longer hungry. They helped us feel more energetic. My family tried the product and the children seemed to be the most impressed, although the adults also thought that they felt more """"alive""""."
health personal care,nutrition wellness,nutrition bars drinks,1.0,I'm very sorry but I don't know of a nice way to say this
health personal care,nutrition wellness,nutrition bars drinks,3.0,"The Almond Brownie bar was OK. The taste was just as good as any other power-type bar that I've tried. But it wasn't something that I'd crave. I expected it to provide me with more energy, kind of like taking a vitamin. Perhaps not that day, but the next. To be honest, I didn't notice much difference in my level of energy. With the price that they charge for purchasing a power bar, I don't think I'd recommend it to friends and family. I do think that I may purchase them again for myself though."
